Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
Ulsoor Lake Training Centre Of Fish Breeding,2025,September,7.8,22.0,152.0,340.0,7000.0,12.9825,77.6191
River Arkavathi At Tippagondanahalli Reservoir,2025,September,7.9,4.0,48.0,728.0,2400.0,12.966127,77.336189
Madiwala Tank,2025,September,7.2,6.0,60.0,322.0,4300.0,12.9734,77.3444
Lalbagh Tank,2025,September,8.1,7.0,80.0,242.0,3500.0,12.9069,77.6161
Kempambudhi Tank,2025,September,7.4,11.0,116.0,236.0,8400.0,12.9507,77.5844
Yediyur Tank,2025,September,7.6,9.0,84.0,160.0,2400.0,12.9575,77.5645
Ulsoor Lake Temple,2025,September,7.6,28.0,168.0,280.0,13000.0,12.9288,77.5794
Sankey Tank,2025,September,7.8,4.0,48.0,326.0,2400.0,12.982,77.621
Byrasandra Tank,2025,September,7.7,9.0,96.0,638.0,1700.0,13.0064,77.5755
Nayandanahalli Tank,2025,September,8.2,8.0,96.0,436.0,2800.0,13.1162,77.5759
Hesaraghatta Lake,2025,September,7.7,4.0,48.0,272.0,1500.0,13.0415,77.6152
Herohalli Tank,2025,September,8.1,6.0,48.0,272.0,7000.0,13.1368,77.4851
Anchepalya Lake,2025,September,6.9,21.0,136.0,328.0,110000.0,13.0012,77.4842
Shivapura Tank,2025,September,7.0,4.0,45.0,308.0,310.0,13.0456,77.4828
Karihobanahalli Lake,2025,September,7.0,4.0,45.0,308.0,310.0,13.0294,77.5147
Bellandur Lake,2025,September,7.8,5.0,56.0,508.0,2800.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,September,6.9,54.0,296.0,500.0,2400.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,September,6.9,10.0,104.0,346.0,9400.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,September,7.6,23.0,166.0,820.0,920.0,12.9714,77.6953
Dasarahalli Tank,2025,September,6.7,19.0,128.0,256.0,2200.0,13.0232,77.7288
Kalkere Tank,2025,September,7.2,14.0,112.0,698.0,9400.0,13.0435,77.5141
Varthur Lake,2025,September,6.8,62.0,232.0,624.0,1500.0,13.0287,77.6685
Ibbalur Lake,2025,September,7.9,4.0,52.0,506.0,3500.0,12.922,77.666
Tubarahalli Tank,2025,September,7.4,7.0,80.0,450.0,1600.0,12.958187,77.725785
Kaikondanahalli Lake,2025,September,8.5,7.0,80.0,570.0,2100.0,12.91627,77.737065
Agaram Lake,2025,September,7.9,4.0,48.0,506.0,2400.0,12.921,77.641
Gottigere Lake,2025,September,7.2,5.0,48.0,290.0,2200.0,12.8552,77.5878
Puttenahalli Lake,2025,September,7.0,7.0,72.0,324.0,3500.0,12.8985,77.5849
Puttenahalli Lake,2025,September,7.0,7.0,72.0,324.0,3500.0,12.89072263,77.5871604
Arakere Lake,2025,September,7.2,6.0,68.0,326.0,1700.0,12.8765,77.5991
Kalena Agrahara Lake,2025,September,7.3,5.0,56.0,236.0,3500.0,12.8624,77.5956
Hulimavu Lake,2025,September,7.0,6.0,72.0,498.0,3500.0,12.8775,77.5912
Singasandra Lake,2025,September,7.3,4.0,40.0,230.0,3500.0,12.8872,77.6493
Begur Tank,2025,September,7.1,6.0,64.0,234.0,2100.0,12.8814,77.6325
Parappana Agrahara Lake,2025,September,8.1,5.0,48.0,524.0,5400.0,12.8879,77.6591
Haralur Lake,2025,September,8.5,6.0,76.0,396.0,2800.0,12.89829,77.66142
Somasundrapalya Lake,2025,September,8.0,6.0,72.0,324.0,350.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,September,7.7,33.0,168.0,1064.0,1700.0,12.87466479,77.78340625
Puttenahalli Lake,2025,September,7.0,15.0,98.0,386.0,3500.0,12.8985,77.5849
Puttenahalli Lake,2025,September,7.0,15.0,98.0,386.0,3500.0,12.89072263,77.5871604
Hebbal Lake,2025,September,8.0,7.0,76.0,302.0,3500.0,13.04697661,77.58600905
Nagavara Lake,2025,September,7.0,5.0,52.0,304.0,1500.0,13.0449046,77.60895858
Jakkur Lake,2025,September,6.7,4.0,48.0,416.0,2200.0,13.08770697,77.61004718
Amruthahalli Lake,2025,September,8.0,5.0,56.0,286.0,2400.0,13.06138758,77.5987903
Allalasandra Lake,2025,September,8.2,4.0,48.0,344.0,5400.0,13.09078569,77.58580537
Yelahanka Tank,2025,September,6.8,8.0,80.0,338.0,1700.0,13.0901,77.5925
Subramanyapura Tank,2025,September,7.7,17.0,120.0,500.0,9400.0,12.89668663,77.54331633
Devarakere Tank,2025,September,6.8,41.0,216.0,190.0,1400.0,12.89808367,77.5543472
Malathahalli Lake,2025,September,6.9,7.0,76.0,368.0,1100.0,12.96467512,77.49507669
Hoskere Lake,2025,September,6.8,13.0,124.0,232.0,1500.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,September,7.3,8.0,92.0,222.0,2800.0,12.89926437,77.56547215
Kengeri Tank,2025,September,8.2,5.0,48.0,338.0,1500.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,September,7.8,27.0,192.0,142.0,4300.0,12.90305626,77.55084832
Dhorekere Tank,2025,September,7.5,42.0,228.0,168.0,2200.0,12.93017436,77.494945
Jigani Tank,2025,September,7.4,8.0,80.0,632.0,1200.0,12.79585704,77.63284772
Benniganahalli Lake,2025,September,7.4,5.0,58.0,240.0,3500.0,12.99772381,77.66545556
Mathikere Tank,2025,September,7.1,5.0,64.0,114.0,3500.0,13.00974799,77.5736474
Gangondanahalli Lake,2025,September,7.6,14.0,94.0,1120.0,3300000000.0,12.99954081,77.4646815
Chikkabanavara Lake,2025,September,7.0,4.0,41.0,298.0,12000.0,13.08356016,77.50682992
Andhrahalli Lake,2025,September,6.8,69.0,336.0,1008.0,220000.0,13.01026314,77.48646759
Kachohalli Lake,2025,September,7.9,4.0,43.0,894.0,1100000.0,13.01365684,77.45596987
Sarakki Lake,2025,September,7.7,9.0,96.0,326.0,4300.0,12.89941681,77.57913342
Nelamangala Lake,2025,September,6.5,16.0,176.0,596.0,2800.0,13.08073442,77.40002615
Abbigere Lake,2025,September,7.4,5.0,48.0,394.0,2200.0,13.0791175,77.52872073
Chelekere Lake,2025,September,8.4,5.0,48.0,344.0,2800.0,13.02641201,77.6449817
Singapura Lake,2025,September,7.0,4.0,44.0,306.0,3500.0,13.08266187,77.53568704
Narasipura Lake,2025,September,6.6,8.0,88.0,258.0,4300.0,13.07260237,77.55884035
Rachenahalli Lake,2025,September,7.5,5.0,44.0,638.0,1500.0,13.06365337,77.61270948
Kogilu Kere,2025,September,6.9,5.0,48.0,366.0,3500.0,13.11015107,77.61852742
Viswaneedam Lake,2025,September,6.7,45.0,264.0,1052.0,4600000.0,12.98884671,77.49016012
Ramammana Kere,2025,September,6.9,24.0,160.0,324.0,7000.0,12.96089629,77.22799123
Sadaramangala Lake,2025,September,7.9,4.0,44.0,512.0,2800.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,September,7.0,6.0,64.0,406.0,2100.0,13.02479566,77.7086534
Kundalahalli Lake,2025,September,7.4,7.0,84.0,516.0,4300.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,September,7.3,5.0,64.0,232.0,3500.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,September,8.5,17.0,128.0,272.0,2100.0,12.99262062,77.69630153
Rampura Lake,2025,September,6.9,23.0,136.0,612.0,1600.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,September,7.4,7.0,80.0,512.0,2400.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,September,7.5,6.0,68.0,1186.0,4300.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,September,7.4,11.0,120.0,872.0,4300.0,12.9683535,77.67578051
